,DATE,DEBIT,CREDIT,BALANCE,YEAR,MONTH,CAT,ACCOUNT,STATEMENT,TYPE,CURRENCY,CREDIT_SGD,DEBIT_SGD,BALANCE_SGD,CREDIT_CHF,DEBIT_CHF,BALANCE_CHF,CREDIT_COP,DEBIT_COP,BALANCE_COP,CREDIT_USD,DEBIT_USD,BALANCE_USD
0,1/8/17,0.533333333,0,982.664,2017,Aug,Taxi,conto4,31-Aug-17,CASH,SGD,0,0.533333333,982.664,0,0.379466667,699.165436,0,1240.31008,2285265.121,0,0.392693333,723.5355032
1,1/8/17,0.502666667,0,982.664,2017,Aug,Taxi,conto4,31-Aug-17,CASH,SGD,0,0.502666667,982.664,0,0.357647333,699.165436,0,1168.99225,2285265.121,0,0.370113467,723.5355032
2,1/8/17,1,0,982.664,2017,Aug,Taxi,conto4,31-Aug-17,CASH,SGD,0,1,982.664,0,0.7115,699.165436,0,2325.5814,2285265.121,0,0.7363,723.5355032
3,1/8/17,20,0,982.664,2017,Aug,Health,conto4,31-Aug-17,CASH,SGD,0,20,982.664,0,14.23,699.165436,0,46511.628,2285265.121,0,14.726,723.5355032
4,1/8/17,2.976666667,0,957.6513333,2017,Aug,Supermarket,conto4,31-Aug-17,CASH,SGD,0,2.976666667,957.6513333,0,2.117898333,681.3689237,0,6922.480634,2227096.128,0,2.191719667,705.1186767
5,2/8/17,0.533333333,0,957.118,2017,Aug,Taxi,conto4,31-Aug-17,CASH,SGD,0,0.533333333,957.118,0,0.379466667,680.989457,0,1240.31008,2225855.818,0,0.392693333,704.7259834
6,3/8/17,1.658,0,955.46,2017,Aug,Health,conto4,31-Aug-17,CASH,SGD,0,1.658,955.46,0,1.179667,679.80979,0,3855.813961,2222000.004,0,1.2207854,703.505198
7,4/8/17,0.446666667,0,955.46,2017,Aug,Unknown Withdrawal,conto4,31-Aug-17,CASH,SGD,0,0.446666667,955.46,0,0.317803333,679.80979,0,1038.759692,2222000.004,0,0.328880667,703.505198
8,4/8/17,1.933333333,0,955.46,2017,Aug,Unknown Withdrawal,conto4,31-Aug-17,CASH,SGD,0,1.933333333,955.46,0,1.375566667,679.80979,0,4496.12404,2222000.004,0,1.423513333,703.505198
9,4/8/17,0.406666667,0,955.46,2017,Aug,Supermarket,conto4,31-Aug-17,CASH,SGD,0,0.406666667,955.46,0,0.289343333,679.80979,0,945.736436,2222000.004,0,0.299428667,703.505198
